chunk_per_worker,chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
10,128MB,auto,5.12 GB,hal1D,24,128gb,4,anomaly,3.8237311840057373,False,1,1
10,128MB,auto,5.12 GB,hal1D,24,128gb,4,climatology,1.8955621719360352,False,1,1
10,128MB,auto,5.12 GB,hal1D,24,128gb,4,spatial_mean,1.7476649284362793,False,1,1
10,128MB,auto,5.12 GB,hal1D,24,128gb,4,temporal_mean,1.3583972454071045,False,1,1
10,128MB,spatial,5.12 GB,hal1D,24,128gb,4,anomaly,4.2969560623168945,False,1,1
10,128MB,spatial,5.12 GB,hal1D,24,128gb,4,climatology,1.6902527809143066,False,1,1
10,128MB,spatial,5.12 GB,hal1D,24,128gb,4,spatial_mean,2.2075939178466797,False,1,1
10,128MB,spatial,5.12 GB,hal1D,24,128gb,4,temporal_mean,1.3543908596038818,False,1,1
10,128MB,temporal,5.12 GB,hal1D,24,128gb,4,anomaly,3.6910722255706787,False,1,1
10,128MB,temporal,5.12 GB,hal1D,24,128gb,4,climatology,1.8992424011230469,False,1,1
10,128MB,temporal,5.12 GB,hal1D,24,128gb,4,spatial_mean,1.7654156684875488,False,1,1
10,128MB,temporal,5.12 GB,hal1D,24,128gb,4,temporal_mean,1.3542251586914062,False,1,1
10,256MB,auto,10.24 GB,hal1D,24,128gb,4,anomaly,6.3950066566467285,False,1,1
10,256MB,auto,10.24 GB,hal1D,24,128gb,4,climatology,3.7589964866638184,False,1,1
10,256MB,auto,10.24 GB,hal1D,24,128gb,4,spatial_mean,3.6406033039093018,False,1,1
10,256MB,auto,10.24 GB,hal1D,24,128gb,4,temporal_mean,3.3422536849975586,False,1,1
10,256MB,spatial,10.24 GB,hal1D,24,128gb,4,anomaly,9.246201753616333,False,1,1
10,256MB,spatial,10.24 GB,hal1D,24,128gb,4,climatology,3.1859583854675293,False,1,1
10,256MB,spatial,10.24 GB,hal1D,24,128gb,4,spatial_mean,4.3942711353302,False,1,1
10,256MB,spatial,10.24 GB,hal1D,24,128gb,4,temporal_mean,2.5862326622009277,False,1,1
10,256MB,temporal,10.24 GB,hal1D,24,128gb,4,anomaly,6.855186462402344,False,1,1
10,256MB,temporal,10.24 GB,hal1D,24,128gb,4,climatology,3.754619836807251,False,1,1
10,256MB,temporal,10.24 GB,hal1D,24,128gb,4,spatial_mean,3.3448657989501953,False,1,1
10,256MB,temporal,10.24 GB,hal1D,24,128gb,4,temporal_mean,2.535602569580078,False,1,1
10,512MB,auto,20.48 GB,hal1D,24,128gb,4,anomaly,17.339837312698364,False,1,1
10,512MB,auto,20.48 GB,hal1D,24,128gb,4,climatology,7.599620342254639,False,1,1
10,512MB,auto,20.48 GB,hal1D,24,128gb,4,spatial_mean,6.668856143951416,False,1,1
10,512MB,auto,20.48 GB,hal1D,24,128gb,4,temporal_mean,5.184141635894775,False,1,1
10,512MB,spatial,20.48 GB,hal1D,24,128gb,4,anomaly,23.171778202056885,False,1,1
10,512MB,spatial,20.48 GB,hal1D,24,128gb,4,climatology,7.320587873458862,False,1,1
10,512MB,spatial,20.48 GB,hal1D,24,128gb,4,spatial_mean,6.959691762924194,False,1,1
10,512MB,spatial,20.48 GB,hal1D,24,128gb,4,temporal_mean,4.9490065574646,False,1,1
10,512MB,temporal,20.48 GB,hal1D,24,128gb,4,anomaly,13.659115076065063,False,1,1
10,512MB,temporal,20.48 GB,hal1D,24,128gb,4,climatology,7.413562059402466,False,1,1
10,512MB,temporal,20.48 GB,hal1D,24,128gb,4,spatial_mean,6.713670253753662,False,1,1
10,512MB,temporal,20.48 GB,hal1D,24,128gb,4,temporal_mean,4.9319093227386475,False,1,1
10,64MB,auto,2.56 GB,hal1D,24,128gb,4,anomaly,1.6060519218444824,False,1,1
10,64MB,auto,2.56 GB,hal1D,24,128gb,4,climatology,1.010305404663086,False,1,1
10,64MB,auto,2.56 GB,hal1D,24,128gb,4,spatial_mean,0.8702356815338135,False,1,1
10,64MB,auto,2.56 GB,hal1D,24,128gb,4,temporal_mean,0.6993906497955322,False,1,1
10,64MB,spatial,2.56 GB,hal1D,24,128gb,4,anomaly,2.6911869049072266,False,1,1
10,64MB,spatial,2.56 GB,hal1D,24,128gb,4,climatology,1.0140128135681152,False,1,1
10,64MB,spatial,2.56 GB,hal1D,24,128gb,4,spatial_mean,1.226170301437378,False,1,1
10,64MB,spatial,2.56 GB,hal1D,24,128gb,4,temporal_mean,0.6452450752258301,False,1,1
10,64MB,temporal,2.56 GB,hal1D,24,128gb,4,anomaly,1.4826233386993408,False,1,1
10,64MB,temporal,2.56 GB,hal1D,24,128gb,4,climatology,0.9777345657348633,False,1,1
10,64MB,temporal,2.56 GB,hal1D,24,128gb,4,spatial_mean,0.8998291492462158,False,1,1
10,64MB,temporal,2.56 GB,hal1D,24,128gb,4,temporal_mean,0.7092065811157227,False,1,1
