operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
climatology,256MB,10,20.48 GB,1,1,8,temporal,wrangler,128gb,24,False,3.2565300464630127
climatology,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,0.5358130931854248
climatology,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,0.7206940650939941
climatology,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.48429059982299805
climatology,512MB,10,40.96 GB,1,1,8,auto,wrangler,128gb,24,False,6.319719076156616
climatology,512MB,10,40.96 GB,1,1,8,spatial,wrangler,128gb,24,False,6.50609016418457
climatology,512MB,10,40.96 GB,1,1,8,temporal,wrangler,128gb,24,False,6.154209613800049
climatology,64MB,10,5.12 GB,1,1,8,auto,wrangler,128gb,24,False,0.8114955425262451
climatology,64MB,10,5.12 GB,1,1,8,spatial,wrangler,128gb,24,False,1.0026566982269287
climatology,64MB,10,5.12 GB,1,1,8,temporal,wrangler,128gb,24,False,0.8524060249328613
spatial_mean,128MB,10,10.24 GB,1,1,8,auto,wrangler,128gb,24,False,1.3977186679840088
spatial_mean,128MB,10,10.24 GB,1,1,8,spatial,wrangler,128gb,24,False,1.9429919719696045
spatial_mean,128MB,10,10.24 GB,1,1,8,temporal,wrangler,128gb,24,False,1.594975471496582
spatial_mean,256MB,10,20.48 GB,1,1,8,auto,wrangler,128gb,24,False,3.1021039485931396
spatial_mean,256MB,10,20.48 GB,1,1,8,spatial,wrangler,128gb,24,False,3.2996082305908203
spatial_mean,256MB,10,20.48 GB,1,1,8,temporal,wrangler,128gb,24,False,2.9763307571411133
spatial_mean,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,0.6198906898498535
spatial_mean,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,1.0390503406524658
spatial_mean,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.4436984062194824
spatial_mean,512MB,10,40.96 GB,1,1,8,auto,wrangler,128gb,24,False,5.955992221832275
spatial_mean,512MB,10,40.96 GB,1,1,8,spatial,wrangler,128gb,24,False,6.215534925460815
spatial_mean,512MB,10,40.96 GB,1,1,8,temporal,wrangler,128gb,24,False,5.953348159790039
spatial_mean,64MB,10,5.12 GB,1,1,8,auto,wrangler,128gb,24,False,0.7938821315765381
spatial_mean,64MB,10,5.12 GB,1,1,8,spatial,wrangler,128gb,24,False,1.2869253158569336
spatial_mean,64MB,10,5.12 GB,1,1,8,temporal,wrangler,128gb,24,False,0.8919456005096436
temporal_mean,128MB,10,10.24 GB,1,1,8,auto,wrangler,128gb,24,False,0.9306240081787109
temporal_mean,128MB,10,10.24 GB,1,1,8,spatial,wrangler,128gb,24,False,1.1132099628448486
temporal_mean,128MB,10,10.24 GB,1,1,8,temporal,wrangler,128gb,24,False,1.1815807819366455
temporal_mean,256MB,10,20.48 GB,1,1,8,auto,wrangler,128gb,24,False,2.579249143600464
temporal_mean,256MB,10,20.48 GB,1,1,8,spatial,wrangler,128gb,24,False,2.07755970954895
temporal_mean,256MB,10,20.48 GB,1,1,8,temporal,wrangler,128gb,24,False,2.198181629180908
temporal_mean,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,0.377291202545166
temporal_mean,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,0.3781759738922119
temporal_mean,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.3308238983154297
temporal_mean,512MB,10,40.96 GB,1,1,8,auto,wrangler,128gb,24,False,4.451091766357422
temporal_mean,512MB,10,40.96 GB,1,1,8,spatial,wrangler,128gb,24,False,4.1026716232299805
temporal_mean,512MB,10,40.96 GB,1,1,8,temporal,wrangler,128gb,24,False,4.328953981399536
temporal_mean,64MB,10,5.12 GB,1,1,8,auto,wrangler,128gb,24,False,0.5064451694488525
temporal_mean,64MB,10,5.12 GB,1,1,8,spatial,wrangler,128gb,24,False,0.6231420040130615
temporal_mean,64MB,10,5.12 GB,1,1,8,temporal,wrangler,128gb,24,False,0.6093811988830566
