operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
anomaly,128MB,10,10.24 GB,1,1,8,auto,wrangler,128gb,24,False,2.918140172958374
anomaly,128MB,10,10.24 GB,1,1,8,spatial,wrangler,128gb,24,False,2.754791259765625
anomaly,128MB,10,10.24 GB,1,1,8,temporal,wrangler,128gb,24,False,2.7216684818267822
anomaly,256MB,10,20.48 GB,1,1,8,auto,wrangler,128gb,24,False,5.394912004470825
anomaly,256MB,10,20.48 GB,1,1,8,spatial,wrangler,128gb,24,False,5.917394161224365
anomaly,256MB,10,20.48 GB,1,1,8,temporal,wrangler,128gb,24,False,6.444994926452637
anomaly,32MB,10,2.56 GB,1,1,8,auto,wrangler,128gb,24,False,1.0110299587249756
anomaly,32MB,10,2.56 GB,1,1,8,spatial,wrangler,128gb,24,False,0.9840543270111084
anomaly,32MB,10,2.56 GB,1,1,8,temporal,wrangler,128gb,24,False,0.8552165031433105
anomaly,512MB,10,40.96 GB,1,1,8,auto,wrangler,128gb,24,False,12.023168325424194
anomaly,512MB,10,40.96 GB,1,1,8,spatial,wrangler,128gb,24,False,14.538053512573242
anomaly,512MB,10,40.96 GB,1,1,8,temporal,wrangler,128gb,24,False,12.465485572814941
anomaly,64MB,10,5.12 GB,1,1,8,auto,wrangler,128gb,24,False,1.5328900814056396
anomaly,64MB,10,5.12 GB,1,1,8,spatial,wrangler,128gb,24,False,1.5021026134490967
anomaly,64MB,10,5.12 GB,1,1,8,temporal,wrangler,128gb,24,False,1.5144157409667969
climatology,128MB,10,10.24 GB,1,1,8,auto,wrangler,128gb,24,False,1.4437901973724365
climatology,128MB,10,10.24 GB,1,1,8,spatial,wrangler,128gb,24,False,1.6029446125030518
climatology,128MB,10,10.24 GB,1,1,8,temporal,wrangler,128gb,24,False,1.6684060096740723
climatology,256MB,10,20.48 GB,1,1,8,auto,wrangler,128gb,24,False,3.4344940185546875
climatology,256MB,10,20.48 GB,1,1,8,spatial,wrangler,128gb,24,False,3.25131893157959
