operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
anomaly,128MB,10,20.48 GB,1,1,16,auto,wrangler,128gb,24,False,3.1731858253479004
anomaly,128MB,10,20.48 GB,1,1,16,spatial,wrangler,128gb,24,False,4.093437671661377
anomaly,128MB,10,20.48 GB,1,1,16,temporal,wrangler,128gb,24,False,3.388916492462158
anomaly,256MB,10,40.96 GB,1,1,16,auto,wrangler,128gb,24,False,6.994006395339966
anomaly,256MB,10,40.96 GB,1,1,16,spatial,wrangler,128gb,24,False,7.69360876083374
anomaly,256MB,10,40.96 GB,1,1,16,temporal,wrangler,128gb,24,False,6.919288158416748
anomaly,32MB,10,5.12 GB,1,1,16,auto,wrangler,128gb,24,False,1.4985160827636719
anomaly,32MB,10,5.12 GB,1,1,16,spatial,wrangler,128gb,24,False,1.7602672576904297
anomaly,32MB,10,5.12 GB,1,1,16,temporal,wrangler,128gb,24,False,1.112696886062622
anomaly,512MB,10,81.92 GB,1,1,16,auto,wrangler,128gb,24,False,12.5836763381958
anomaly,512MB,10,81.92 GB,1,1,16,spatial,wrangler,128gb,24,False,16.64562177658081
anomaly,512MB,10,81.92 GB,1,1,16,temporal,wrangler,128gb,24,False,13.748363256454468
anomaly,64MB,10,10.24 GB,1,1,16,auto,wrangler,128gb,24,False,1.7683491706848145
anomaly,64MB,10,10.24 GB,1,1,16,spatial,wrangler,128gb,24,False,2.7465999126434326
anomaly,64MB,10,10.24 GB,1,1,16,temporal,wrangler,128gb,24,False,1.7346951961517334
climatology,128MB,10,20.48 GB,1,1,16,auto,wrangler,128gb,24,False,1.6087274551391602
climatology,128MB,10,20.48 GB,1,1,16,spatial,wrangler,128gb,24,False,2.3091137409210205
climatology,128MB,10,20.48 GB,1,1,16,temporal,wrangler,128gb,24,False,1.6989705562591553
climatology,256MB,10,40.96 GB,1,1,16,auto,wrangler,128gb,24,False,3.521176338195801
climatology,256MB,10,40.96 GB,1,1,16,spatial,wrangler,128gb,24,False,4.02742338180542
climatology,256MB,10,40.96 GB,1,1,16,temporal,wrangler,128gb,24,False,3.1928675174713135
climatology,32MB,10,5.12 GB,1,1,16,auto,wrangler,128gb,24,False,0.9367537498474121
climatology,32MB,10,5.12 GB,1,1,16,spatial,wrangler,128gb,24,False,1.1450583934783936
climatology,32MB,10,5.12 GB,1,1,16,temporal,wrangler,128gb,24,False,0.5392677783966064
climatology,512MB,10,81.92 GB,1,1,16,auto,wrangler,128gb,24,False,6.837509632110596
climatology,512MB,10,81.92 GB,1,1,16,spatial,wrangler,128gb,24,False,7.521509647369385
climatology,512MB,10,81.92 GB,1,1,16,temporal,wrangler,128gb,24,False,5.999524116516113
climatology,64MB,10,10.24 GB,1,1,16,auto,wrangler,128gb,24,False,0.8828444480895996
climatology,64MB,10,10.24 GB,1,1,16,spatial,wrangler,128gb,24,False,1.7373921871185303
